#
# Time		Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]
#
# 2014-0107-192657  0.236  0.268  0.787  Lowest temperature
# 2014-0107-192755  0.235  0.268  0.787  Lowest temperature
# 2014-0107-195855  0.234  0.267  0.787  Lowest temperature
# 2014-0108-182655  1.088  0.593  3.0  He3U Head > 0.4 K
# 2014-0108-214053  0.353  0.456  0.936  Cooled
# 2014-0109-012758  0.233  0.266  0.787  Lowest temperature
#
# Time   Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]  Hold Time [h]  Lowest Temperature [K]  State
#
2014-0605-194359  0.252  0.368  2.319  -  -  Cooled
2014-0605-203555  0.626  0.482  2.716  0.87  0.244  He3U Head > 0.27 K
2014-0605-231204  0.267  0.309  0.799  -  -  Cooled
2014-0606-081205  0.34  0.371  2.46  9.00  0.227  He3U Head > 0.27 K
2014-0606-112002  0.269  0.278  0.793  -  -  Cooled
2014-0606-192402  0.29  0.289  1.166  8.07  0.210  He3U Head > 0.27 K
2014-0610-071400  0.269  0.279  0.796  -  -  Cooled
2014-0610-110253  0.791  0.482  2.913  3.81  0.260  He3U Head > 0.27 K
2014-0610-142253  0.269  0.284  0.793  -  -  Cooled
2014-0610-232954  0.736  0.398  1.167  9.12  0.221  He3U Head > 0.27 K
2014-0611-020951  0.268  0.298  0.796  -  -  Cooled
2014-0611-035855  0.734  0.396  1.107  1.82  0.241  He3U Head > 0.27 K
2014-0611-063400  0.268  0.301  0.797  -  -  Cooled
2014-0611-183851  0.764  0.466  2.975  12.08  0.234  He3U Head > 0.27 K
2014-0611-201951  0.269  0.297  0.794  -  -  Cooled
2014-0612-024801  0.897  0.436  1.199  6.47  0.237  He3U Head > 0.27 K
2014-0612-052652  0.269  0.297  0.795  -  -  Cooled
2014-0613-044556  0.27  0.421  2.254  23.32  0.238  He3U Head > 0.27 K
2014-0613-044901  0.269  0.422  2.254  -  -  Cooled
2014-0613-045206  0.27  0.422  2.253  0.05  0.269  He3U Head > 0.27 K
2014-0613-045253  0.269  0.422  2.254  -  -  Cooled
2014-0613-045500  0.27  0.422  2.254  0.04  0.269  He3U Head > 0.27 K
2014-0613-045558  0.269  0.423  2.253  -  -  Cooled
2014-0613-083659  0.27  0.445  2.248  3.68  0.260  He3U Head > 0.27 K
2014-0613-083757  0.269  0.445  2.248  -  -  Cooled
2014-0613-084200  0.27  0.445  2.248  0.07  0.269  He3U Head > 0.27 K
2014-0613-084356  0.265  0.446  2.248  -  -  Cooled
2014-0613-092659  0.27  0.451  2.247  0.72  0.265  He3U Head > 0.27 K
2014-0613-093050  0.269  0.451  2.247  -  -  Cooled
2014-0613-093551  0.27  0.452  2.246  0.08  0.267  He3U Head > 0.27 K
2014-0613-093759  0.269  0.452  2.246  -  -  Cooled
2014-0613-093955  0.27  0.452  2.246  0.03  0.269  He3U Head > 0.27 K
2014-0613-094052  0.267  0.452  2.246  -  -  Cooled
2014-0613-095654  0.27  0.454  2.246  0.27  0.267  He3U Head > 0.27 K
2014-0613-095752  0.268  0.454  2.246  -  -  Cooled
2014-0613-100253  0.27  0.455  2.246  0.08  0.267  He3U Head > 0.27 K
2014-0613-100351  0.269  0.455  2.246  -  -  Cooled
2014-0613-100558  0.27  0.455  2.246  0.04  0.269  He3U Head > 0.27 K
